lat,lon,aadt,year,road,func_class,layer,AADT_2024,AADT_2023,AADT_2022,AADT_2021,AADT_2020,AADT_2019,AADT_2018,AADT_2017,AADT_2016,redirected_traffic,New_AADT_2024,Traffic_Increase_Percent
41.72590206793945,-72.55170480739199,1772,2024,BELL ST,Local,Local Intersections,1772,1412,1782,2486,2551,3395,2885,3021,3086.0,0.0,1772.0,0.0
41.69422975576455,-72.59401215342544,252,2024,CARRIAGE DR,Local,Local Intersections,252,253,520,397,869,1043,862,925,906.0,0.0,252.0,0.0
41.72031440419895,-72.51579381044938,167,2024,CEDAR RIDGE DR,Local,Local Intersections,167,131,280,236,427,548,478,509,449.0,0.0,167.0,0.0
41.72977603561716,-72.54906337557388,1281,2024,BELL ST,Local,Local Intersections,1281,1052,1427,1832,2102,2884,2456,2556,2600.0,0.0,1281.0,0.0
41.71432256668398,-72.60410813490607,627,2024,CONCORD ST,Local,Local Intersections,627,420,389,417,571,783,743,753,736.0,0.0,627.0,0.0
41.69637103923587,-72.49197140226681,505,2024,ASH SWAMP RD,Local,Local Intersections,505,570,1290,1197,1136,1253,1097,1143,1147.0,0.0,505.0,0.0
41.7321619353744,-72.46374100620558,711,2024,BIRCH MOUNTAIN RD,Local,Local Intersections,711,639,784,954,1007,1160,1008,1059,1078.0,0.0,711.0,0.0
41.72595706475729,-72.55165296360683,1772,2024,BELL ST,Local,Local Intersections,1772,1412,1782,2486,2551,3395,2885,3021,3086.0,0.0,1772.0,0.0
41.67693453648202,-72.59077719366387,3300,2024,CHESTNUT HILL RD,Major Collector,Local Intersections,3300,3100,3100,3100,3100,3100,3100,3189,3553.0,0.0,3300.0,0.0
41.717589355727554,-72.52491247911782,83,2024,BRIARWOOD DR,Local,Local Intersections,83,81,28,45,277,366,313,329,333.0,0.0,83.0,0.0
41.725555819237485,-72.55209010856959,1772,2024,BELL ST,Local,Local Intersections,1772,1412,1782,2486,2551,3395,2885,3021,3086.0,0.0,1772.0,0.0
41.67834930786109,-72.58084206224252,3400,2024,CHESTNUT HILL RD,Major Collector,Local Intersections,3400,3100,3100,3100,3300,3300,3300,3100,3996.0,0.0,3400.0,0.0
41.72570597952922,-72.58127069903401,3700,2024,ADDISON RD,Minor Arterial,Local Intersections,3700,3200,3200,3200,3500,3500,3500,3200,7516.0,0.0,3700.0,0.0
41.64841421492667,-72.56125746355724,392,2024,CLARK HILL RD,Local,Local Intersections,392,246,824,655,896,1067,820,893,928.0,0.0,392.0,0.0
41.67719985218199,-72.58921842385878,3300,2024,CHESTNUT HILL RD,Major Collector,Local Intersections,3300,3100,3100,3100,3100,3100,3100,3189,3553.0,0.0,3300.0,0.0
41.73009595560888,-72.59009720016492,2312,2024,CANDLEWOOD RD,Local,Local Intersections,2312,2155,2238,3166,3559,4603,3999,4135,4231.0,0.0,2312.0,0.0
41.72791404806173,-72.55026961772367,1772,2024,BELL ST,Local,Local Intersections,1772,1412,1782,2486,2551,3395,2885,3021,3086.0,0.0,1772.0,0.0
41.68079498087682,-72.54899609573543,4600,2024,CHESTNUT HILL RD,Major Collector,Local Intersections,4600,4700,4700,4700,4700,4700,4700,4700,3797.0,0.0,4600.0,0.0
41.70880076066644,-72.5538857131214,686,2024,CANDLELIGHT DR,Local,Local Intersections,686,618,1257,1503,1517,2009,1522,1594,1607.0,0.0,686.0,0.0
41.72804157704285,-72.55021811454671,1772,2024,BELL ST,Local,Local Intersections,1772,1412,1782,2486,2551,3395,2885,3021,3086.0,0.0,1772.0,0.0
41.724986521226754,-72.60573522612604,196,2024,BATES LA,Local,Local Intersections,196,90,224,126,420,533,467,583,608.0,0.0,196.0,0.0
41.717240314518335,-72.52282972538738,83,2024,BRIARWOOD DR,Local,Local Intersections,83,81,28,45,277,366,313,329,333.0,0.0,83.0,0.0
41.68231084358132,-72.59422956391067,83,2024,BROOKFIELD DR,Local,Local Intersections,83,78,21,43,433,490,383,376,378.0,0.0,83.0,0.0
41.67772728254617,-72.57347242096372,2200,2024,CHESTNUT HILL RD,Major Collector,Local Intersections,2200,2000,2000,2000,2100,2100,2100,2000,3550.0,0.0,2200.0,0.0
41.709808569037016,-72.603687606848,10900,2024,NEW LONDON TPK,Major Collector,Local Intersections,10900,9300,9300,9300,12100,12100,12100,10800,8993.0,0.0,10900.0,0.0
